Cruise,Experiment,Compound,Average Dissolved Concentration (nM),Standard Deviation of Dissolved Concentration (nM),Batch Limit of Detection (nM)
TN397,UKH4,Dimethylsulfoniopropionate,9.50,1.72,0.000414
TN397,UKH4,Glycine betaine,7.12,1.22,3.40
TN397,UKH4,Gonyol,2.30,0.223,0.686
TN397,UKH4,Homarine,0.887,0.0837,0.0120
TN397,UKH4,Proline betaine,0.0242,0.00786,0.00617
TN397,UKH4,Trigonelline,0.156,0.0303,0.111
TN397,UKH4,Trimethylamine N-oxide,6.72,2.28,0.0286
TN397,UKH4,beta-Alaninebetaine,1.87,0.464,0.0108
TN397,UKH5,Betonicine,0.0470,0.0106,0.00241
TN397,UKH5,Dimethylsulfonioacetate,0.173,0.0984,0.00387
TN397,UKH5,Dimethylsulfoniopropionate,3.80,1.51,0.000414
TN397,UKH5,Glycine betaine,2.98,1.05,3.40
TN397,UKH5,Gonyol,2.07,0.960,0.686
TN397,UKH5,Homarine,0.300,0.0364,0.0120
TN397,UKH5,Proline betaine,0.0191,0.00298,0.00617
TN397,UKH5,Trigonelline,0.0542,0.0117,0.111
TN397,UKH5,Trimethylamine N-oxide,5.76,2.40,0.0286
TN397,UKH5,beta-Alaninebetaine,2.14,0.983,0.0108
TN412,UKG,Betonicine,0.0183,0.00503,0.00510
TN412,UKG,Dimethylsulfonioacetate,0.363,0.0829,0.0000170
TN412,UKG,Dimethylsulfoniopropionate,2.46,0.446,0.00204
TN412,UKG,Glycine betaine,0.472,0.150,0.797
TN412,UKG,Gonyol,0.194,0.0423,0.151
TN412,UKG,Homarine,0.0311,0.00744,0.00790
TN412,UKG,Proline betaine,0.0102,0.00566,0.0215
TN412,UKG,Trigonelline,0.0828,0.0234,0.0580
TN412,UKG,Trimethylamine N-oxide,0.815,0.280,0.140
TN412,UKG,beta-Alaninebetaine,0.0730,0.00531,0.00972
