SampID,Organism,Batch,Compound,Area,min.area.flag,blk.flag
220111_Smp_SA59_B_pos,SA59,Bacteria,Glycine betaine,310742592,NA,NA
220111_Smp_SA59_C_pos,SA59,Bacteria,Glycine betaine,364465504,NA,NA
220111_Smp_DSS3_A_pos,DSS3,Bacteria,Homarine,180672,NA,NA
220111_Smp_DSS3_B_pos,DSS3,Bacteria,Homarine,105627,NA,NA
220111_Smp_DSS3_C_pos,DSS3,Bacteria,Homarine,0,Flag,Flag
220111_Smp_SA53_B_pos,SA53,Bacteria,Homarine,48419,NA,NA
220111_Smp_SCM1_Exp3_pos,Nmar,Bacteria,Homarine,71264,NA,NA
220111_Smp_DSS3_A_pos,DSS3,Bacteria,Proline betaine,405051,NA,NA
220111_Smp_DSS3_B_pos,DSS3,Bacteria,Proline betaine,312119,NA,NA
220111_Smp_DSS3_C_pos,DSS3,Bacteria,Proline betaine,644170,NA,NA
220111_Smp_SA7_A_pos,SA7,Bacteria,Proline betaine,47104,NA,NA
220111_Smp_SA11_A_pos,SA11,Bacteria,Proline betaine,571851,NA,NA
220111_Smp_SA11_B_pos,SA11,Bacteria,Proline betaine,881154,NA,NA
220111_Smp_SA11_C_pos,SA11,Bacteria,Proline betaine,288845,NA,NA
220111_Smp_SA16_A_pos,SA16,Bacteria,Proline betaine,4116702,NA,NA
220111_Smp_SA16_B_pos,SA16,Bacteria,Proline betaine,924024,NA,NA
220111_Smp_SA16_C_pos,SA16,Bacteria,Proline betaine,1462420,NA,NA
220111_Smp_SA36_A_pos,SA36,Bacteria,Proline betaine,659350,NA,NA
220111_Smp_SA36_B_pos,SA36,Bacteria,Proline betaine,1147878,NA,NA
220111_Smp_SA36_C_pos,SA36,Bacteria,Proline betaine,1036763,NA,NA
220111_Smp_SA42_A_pos,SA42,Bacteria,Proline betaine,1527795,NA,NA
220111_Smp_SA44_B_pos,SA44,Bacteria,Proline betaine,3795679,NA,NA
220111_Smp_SA44_C_pos,SA44,Bacteria,Proline betaine,3312564,NA,NA
220111_Smp_SA48_A_pos,SA48,Bacteria,Proline betaine,427959,NA,NA
220111_Smp_SA48_B_pos,SA48,Bacteria,Proline betaine,502875,NA,NA
220111_Smp_SA48_C_pos,SA48,Bacteria,Proline betaine,952978,NA,NA
220111_Smp_SA53_A_pos,SA53,Bacteria,Proline betaine,1771178,NA,NA
220111_Smp_SA53_B_pos,SA53,Bacteria,Proline betaine,2142556,NA,NA
220111_Smp_SA53_C_pos,SA53,Bacteria,Proline betaine,2064764,NA,NA
220111_Smp_SA55_A_pos,SA55,Bacteria,Proline betaine,125202,NA,NA
220111_Smp_SA55_B_pos,SA55,Bacteria,Proline betaine,162245,NA,NA
220111_Smp_SA55_C_pos,SA55,Bacteria,Proline betaine,0,Flag,Flag
220111_Smp_SA59_A_pos,SA59,Bacteria,Proline betaine,98658,NA,NA
220111_Smp_SA59_B_pos,SA59,Bacteria,Proline betaine,455722,NA,NA
220111_Smp_SA59_C_pos,SA59,Bacteria,Proline betaine,145591,NA,NA
220111_Smp_DSS3_A_pos,DSS3,Bacteria,Trigonelline,183076,NA,NA
220111_Smp_DSS3_B_pos,DSS3,Bacteria,Trigonelline,153706,NA,NA
220111_Smp_DSS3_C_pos,DSS3,Bacteria,Trigonelline,133939,NA,NA
220111_Smp_SA7_A_pos,SA7,Bacteria,Trigonelline,164258,NA,NA
220111_Smp_SA7_B_pos,SA7,Bacteria,Trigonelline,197543,NA,NA
220111_Smp_SA7_C_pos,SA7,Bacteria,Trigonelline,375196,NA,NA
220111_Smp_SA11_A_pos,SA11,Bacteria,Trigonelline,219121,NA,NA
220111_Smp_SA11_B_pos,SA11,Bacteria,Trigonelline,488014,NA,NA
220111_Smp_SA11_C_pos,SA11,Bacteria,Trigonelline,52134,NA,NA
220111_Smp_SA16_A_pos,SA16,Bacteria,Trigonelline,49045,NA,NA
220111_Smp_SA16_B_pos,SA16,Bacteria,Trigonelline,148252,NA,NA
220111_Smp_SA16_C_pos,SA16,Bacteria,Trigonelline,177322,NA,NA
220111_Smp_SA36_A_pos,SA36,Bacteria,Trigonelline,117875,NA,NA
220111_Smp_SA36_B_pos,SA36,Bacteria,Trigonelline,303971,NA,NA
220111_Smp_SA36_C_pos,SA36,Bacteria,Trigonelline,6142941,NA,NA
220111_Smp_SA42_A_pos,SA42,Bacteria,Trigonelline,3117552,NA,NA
220111_Smp_SA44_B_pos,SA44,Bacteria,Trigonelline,4919396,NA,NA
220111_Smp_SA44_C_pos,SA44,Bacteria,Trigonelline,10935980,NA,NA
220111_Smp_SA48_A_pos,SA48,Bacteria,Trigonelline,14260,Flag,Flag
220111_Smp_SA48_B_pos,SA48,Bacteria,Trigonelline,54217,NA,NA
220111_Smp_SA48_C_pos,SA48,Bacteria,Trigonelline,55504,NA,NA
220111_Smp_SA55_A_pos,SA55,Bacteria,Trigonelline,2755684,NA,NA
220111_Smp_SA55_B_pos,SA55,Bacteria,Trigonelline,3495846,NA,NA
220111_Smp_SA55_C_pos,SA55,Bacteria,Trigonelline,435846,NA,NA
220111_Smp_SA59_A_pos,SA59,Bacteria,Trigonelline,172834,NA,NA
220111_Smp_SA59_B_pos,SA59,Bacteria,Trigonelline,96039,NA,NA
220111_Smp_SA59_C_pos,SA59,Bacteria,Trigonelline,394047,NA,NA
220111_Smp_SA60_A_pos,SA60,Bacteria,Trigonelline,562418,NA,NA
220111_Smp_SA60_B_pos,SA60,Bacteria,Trigonelline,199827,NA,NA
220111_Smp_SCM1_Exp3_pos,Nmar,Bacteria,Trigonelline,72656,NA,NA
220111_Smp_SCM1_St3_pos,Nmar,Bacteria,Trigonelline,70084,NA,NA
220111_Smp_DSS3_C_pos,DSS3,Bacteria,Trimethylamine N-oxide,107538,NA,NA
211221_Smp_7803_B_pos,7803,Cyano,beta-Alaninebetaine,69378,NA,NA
211221_Smp_7803_F_pos,7803,Cyano,beta-Alaninebetaine,1176674,NA,NA
211221_Smp_8501_D_pos,WH8501,Cyano,beta-Alaninebetaine,107155,NA,NA
211221_Smp_Nat_C_pos,NATL2A,Cyano,beta-Alaninebetaine,161262,NA,NA
211221_Smp_1314P_A_pos,1314P,Cyano,Dimethylsulfoniopropionate,64457,NA,NA
211221_Smp_1314P_B_pos,1314P,Cyano,Dimethylsulfoniopropionate,0,Flag,Flag
211221_Smp_1314P_C_pos,1314P,Cyano,Dimethylsulfoniopropionate,40880,NA,NA
211221_Smp_8501_C_pos,WH8501,Cyano,Dimethylsulfoniopropionate,4495409,NA,NA
211221_Smp_Nat_A_pos,NATL2A,Cyano,Dimethylsulfoniopropionate,75994,NA,NA
211221_Smp_7803_B_pos,7803,Cyano,Glycine betaine,62598537216,NA,NA
211221_Smp_7803_F_pos,7803,Cyano,Glycine betaine,59570786304,NA,NA
211221_Smp_8102_A_pos,8102,Cyano,Glycine betaine,45215076352,NA,NA
211221_Smp_8102_F_pos,8102,Cyano,Glycine betaine,40666533888,NA,NA
211221_Smp_8501_B_pos,WH8501,Cyano,Glycine betaine,459332352,NA,NA
211221_Smp_8501_C_pos,WH8501,Cyano,Glycine betaine,651821632,NA,NA
211221_Smp_8501_D_pos,WH8501,Cyano,Glycine betaine,534677024,NA,NA
211221_Smp_7803_B_pos,7803,Cyano,Homarine,830968512,NA,NA
211221_Smp_7803_F_pos,7803,Cyano,Homarine,934457664,NA,NA
211221_Smp_8102_A_pos,8102,Cyano,Homarine,50622697472,NA,NA
211221_Smp_8102_F_pos,8102,Cyano,Homarine,48383385600,NA,NA
211221_Smp_8501_B_pos,WH8501,Cyano,Homarine,37103924,NA,NA
211221_Smp_8501_C_pos,WH8501,Cyano,Homarine,9860037,NA,NA
211221_Smp_8501_D_pos,WH8501,Cyano,Homarine,2497887,NA,NA
211221_Smp_MED4_D_pos,MED4,Cyano,Homarine,64727,NA,NA
211221_Smp_MED4_E_pos,MED4,Cyano,Homarine,44860,NA,NA
211221_Smp_MED4_F_pos,MED4,Cyano,Homarine,131341,NA,NA
211221_Smp_Nat_C_pos,NATL2A,Cyano,Homarine,126317,NA,NA
211221_Smp_7803_B_pos,7803,Cyano,Proline betaine,444633,NA,NA
211221_Smp_7803_F_pos,7803,Cyano,Proline betaine,336516,NA,NA
211221_Smp_8501_B_pos,WH8501,Cyano,Proline betaine,6567694,NA,NA
211221_Smp_8501_C_pos,WH8501,Cyano,Proline betaine,10552407,NA,NA
211221_Smp_8501_D_pos,WH8501,Cyano,Proline betaine,8152022,NA,NA
211221_Smp_1314P_C_pos,1314P,Cyano,Trigonelline,87856,NA,NA
211221_Smp_7803_B_pos,7803,Cyano,Trigonelline,1829295,NA,NA
211221_Smp_7803_F_pos,7803,Cyano,Trigonelline,1603141,NA,NA
211221_Smp_8102_A_pos,8102,Cyano,Trigonelline,1472175,NA,NA
211221_Smp_8102_F_pos,8102,Cyano,Trigonelline,68465936,NA,NA
211221_Smp_8501_B_pos,WH8501,Cyano,Trigonelline,449612,NA,NA
211221_Smp_8501_C_pos,WH8501,Cyano,Trigonelline,389405,NA,NA
211221_Smp_8501_D_pos,WH8501,Cyano,Trigonelline,147074,NA,Flag
211221_Smp_MED4_D_pos,MED4,Cyano,Trigonelline,130729,NA,NA
211215_Smp_Cy_A_pos,Cy,Diatom,beta-Alaninebetaine,11764466,NA,NA
211215_Smp_Cy_B_pos,Cy,Diatom,beta-Alaninebetaine,9971075,NA,NA
211215_Smp_Cy_C_pos,Cy,Diatom,beta-Alaninebetaine,11936727,NA,NA
211215_Smp_Np_C_pos,Np,Diatom,beta-Alaninebetaine,579302,NA,NA
211215_Smp_Pc55x_A_pos,Pc55x,Diatom,beta-Alaninebetaine,290905,NA,NA
211215_Smp_Pc55x_B_pos,Pc55x,Diatom,beta-Alaninebetaine,119132,NA,NA
211215_Smp_Pc55x_C_pos,Pc55x,Diatom,beta-Alaninebetaine,180605,NA,NA
211215_Smp_Pt_C_pos,Pt,Diatom,beta-Alaninebetaine,625918,NA,NA
211215_Smp_To_A_pos,To,Diatom,beta-Alaninebetaine,100901,NA,NA
211215_Smp_To_B_pos,To,Diatom,beta-Alaninebetaine,55928,NA,Flag
211215_Smp_To_C_pos,To,Diatom,beta-Alaninebetaine,129612,NA,NA
211215_Smp_Tp_A_pos,Tp,Diatom,beta-Alaninebetaine,7823571,NA,NA
211215_Smp_Tp_E_pos,Tp,Diatom,beta-Alaninebetaine,4520384,NA,NA
211215_Smp_Tp_F_pos,Tp,Diatom,beta-Alaninebetaine,5263190,NA,NA
211215_Smp_Cy_A_pos,Cy,Diatom,Betonicine,55400,NA,NA
211215_Smp_Np_F_pos,Np,Diatom,Betonicine,49543,NA,NA
211215_Smp_Pc55x_A_pos,Pc55x,Diatom,Betonicine,4578309,NA,NA
211215_Smp_Pc55x_B_pos,Pc55x,Diatom,Betonicine,5329917,NA,NA
211215_Smp_Pc55x_C_pos,Pc55x,Diatom,Betonicine,3465305,NA,NA
211215_Smp_Pt_C_pos,Pt,Diatom,Betonicine,28086876,NA,NA
211215_Smp_Pt_F_pos,Pt,Diatom,Betonicine,25237876,NA,NA
211215_Smp_To_A_pos,To,Diatom,Betonicine,123071,NA,NA
211215_Smp_To_B_pos,To,Diatom,Betonicine,407445,NA,NA
211215_Smp_To_C_pos,To,Diatom,Betonicine,400618,NA,NA
211215_Smp_Cy_A_pos,Cy,Diatom,Dimethylsulfonioacetate,43475612,NA,NA
211215_Smp_Cy_B_pos,Cy,Diatom,Dimethylsulfonioacetate,36717196,NA,NA
211215_Smp_Cy_C_pos,Cy,Diatom,Dimethylsulfonioacetate,51551808,NA,NA
211215_Smp_Fc_C_pos,Fc,Diatom,Dimethylsulfonioacetate,69176,NA,NA
211215_Smp_Pc55x_A_pos,Pc55x,Diatom,Dimethylsulfonioacetate,697698,NA,NA
211215_Smp_Pc55x_B_pos,Pc55x,Diatom,Dimethylsulfonioacetate,862136,NA,NA
211215_Smp_Pc55x_C_pos,Pc55x,Diatom,Dimethylsulfonioacetate,345736,NA,NA
211215_Smp_Pt_C_pos,Pt,Diatom,Dimethylsulfonioacetate,51195,NA,NA
211215_Smp_Pt_F_pos,Pt,Diatom,Dimethylsulfonioacetate,81422,NA,NA
211215_Smp_To_A_pos,To,Diatom,Dimethylsulfonioacetate,100055,NA,NA
211215_Smp_To_B_pos,To,Diatom,Dimethylsulfonioacetate,794618,NA,NA
211215_Smp_To_C_pos,To,Diatom,Dimethylsulfonioacetate,714535,NA,NA
211215_Smp_Tp_A_pos,Tp,Diatom,Dimethylsulfonioacetate,769775,NA,NA
211215_Smp_Tp_E_pos,Tp,Diatom,Dimethylsulfonioacetate,504273,NA,NA
211215_Smp_Tp_F_pos,Tp,Diatom,Dimethylsulfonioacetate,555352,NA,NA
211215_Smp_Cy_A_pos,Cy,Diatom,Dimethylsulfoniopropionate,50977869824,NA,NA
211215_Smp_Cy_B_pos,Cy,Diatom,Dimethylsulfoniopropionate,43698958336,NA,NA
211215_Smp_Cy_C_pos,Cy,Diatom,Dimethylsulfoniopropionate,50909278208,NA,NA
211215_Smp_Fc_A_pos,Fc,Diatom,Dimethylsulfoniopropionate,15987819520,NA,NA
211215_Smp_Fc_B_pos,Fc,Diatom,Dimethylsulfoniopropionate,16926451712,NA,NA
211215_Smp_Fc_C_pos,Fc,Diatom,Dimethylsulfoniopropionate,14714609664,NA,NA
211215_Smp_Np_A_pos,Np,Diatom,Dimethylsulfoniopropionate,1264736,NA,NA
211215_Smp_Np_C_pos,Np,Diatom,Dimethylsulfoniopropionate,151984,NA,NA
211215_Smp_Np_F_pos,Np,Diatom,Dimethylsulfoniopropionate,24048,Flag,Flag
211215_Smp_Pc55x_A_pos,Pc55x,Diatom,Dimethylsulfoniopropionate,726709952,NA,NA
211215_Smp_Pc55x_B_pos,Pc55x,Diatom,Dimethylsulfoniopropionate,809906432,NA,NA
211215_Smp_Pc55x_C_pos,Pc55x,Diatom,Dimethylsulfoniopropionate,543829952,NA,NA
211215_Smp_Pt_C_pos,Pt,Diatom,Dimethylsulfoniopropionate,16185366528,NA,NA
211215_Smp_Pt_F_pos,Pt,Diatom,Dimethylsulfoniopropionate,11604172800,NA,NA
211215_Smp_To_A_pos,To,Diatom,Dimethylsulfoniopropionate,993385792,NA,NA
211215_Smp_To_B_pos,To,Diatom,Dimethylsulfoniopropionate,1053760448,NA,NA
211215_Smp_To_C_pos,To,Diatom,Dimethylsulfoniopropionate,856118592,NA,NA
211215_Smp_Tp_A_pos,Tp,Diatom,Dimethylsulfoniopropionate,4085111552,NA,NA
211215_Smp_Tp_E_pos,Tp,Diatom,Dimethylsulfoniopropionate,2338236160,NA,NA
211215_Smp_Tp_F_pos,Tp,Diatom,Dimethylsulfoniopropionate,2778877696,NA,NA
211215_Smp_Cy_A_pos,Cy,Diatom,Glycine betaine,54456856576,NA,NA
211215_Smp_Cy_B_pos,Cy,Diatom,Glycine betaine,45915512832,NA,NA
211215_Smp_Cy_C_pos,Cy,Diatom,Glycine betaine,53194207232,NA,NA
211215_Smp_Fc_A_pos,Fc,Diatom,Glycine betaine,19285016576,NA,NA
211215_Smp_Fc_B_pos,Fc,Diatom,Glycine betaine,20149667840,NA,NA
211215_Smp_Fc_C_pos,Fc,Diatom,Glycine betaine,17895311360,NA,NA
211215_Smp_Pc55x_A_pos,Pc55x,Diatom,Glycine betaine,8050200576,NA,NA
211215_Smp_Pc55x_B_pos,Pc55x,Diatom,Glycine betaine,9645495296,NA,NA
211215_Smp_Pc55x_C_pos,Pc55x,Diatom,Glycine betaine,6130478592,NA,NA
211215_Smp_Pt_C_pos,Pt,Diatom,Glycine betaine,75324473344,NA,NA
211215_Smp_Pt_F_pos,Pt,Diatom,Glycine betaine,67542069248,NA,NA
211215_Smp_To_A_pos,To,Diatom,Glycine betaine,16890181632,NA,NA
211215_Smp_To_B_pos,To,Diatom,Glycine betaine,17222750208,NA,NA
211215_Smp_To_C_pos,To,Diatom,Glycine betaine,16387003392,NA,NA
211215_Smp_Tp_A_pos,Tp,Diatom,Glycine betaine,45504282624,NA,NA
211215_Smp_Tp_E_pos,Tp,Diatom,Glycine betaine,36474576896,NA,NA
211215_Smp_Tp_F_pos,Tp,Diatom,Glycine betaine,38890016768,NA,NA
211215_Smp_Pc55x_C_pos,Pc55x,Diatom,Gonyol,40884,NA,NA
211215_Smp_Tp_A_pos,Tp,Diatom,Gonyol,47855,NA,NA
211215_Smp_Cy_A_pos,Cy,Diatom,Homarine,29067038720,NA,NA
211215_Smp_Cy_B_pos,Cy,Diatom,Homarine,24947228672,NA,NA
211215_Smp_Cy_C_pos,Cy,Diatom,Homarine,28143636480,NA,NA
211215_Smp_Fc_A_pos,Fc,Diatom,Homarine,14911909888,NA,NA
211215_Smp_Fc_B_pos,Fc,Diatom,Homarine,16373026816,NA,NA
211215_Smp_Fc_C_pos,Fc,Diatom,Homarine,14532635648,NA,NA
211215_Smp_Np_A_pos,Np,Diatom,Homarine,90415,NA,NA
211215_Smp_Pc55x_A_pos,Pc55x,Diatom,Homarine,887580544,NA,NA
211215_Smp_Pc55x_B_pos,Pc55x,Diatom,Homarine,965469888,NA,NA
211215_Smp_Pc55x_C_pos,Pc55x,Diatom,Homarine,708905600,NA,NA
211215_Smp_Pt_C_pos,Pt,Diatom,Homarine,487894,NA,NA
211215_Smp_Pt_F_pos,Pt,Diatom,Homarine,360106,NA,NA
211215_Smp_To_A_pos,To,Diatom,Homarine,499283360,NA,NA
211215_Smp_To_B_pos,To,Diatom,Homarine,547452096,NA,NA
211215_Smp_To_C_pos,To,Diatom,Homarine,598787392,NA,NA
211215_Smp_Tp_A_pos,Tp,Diatom,Homarine,6833534464,NA,NA
211215_Smp_Tp_E_pos,Tp,Diatom,Homarine,3401115392,NA,NA
211215_Smp_Tp_F_pos,Tp,Diatom,Homarine,4138140416,NA,NA
211215_Smp_Cy_A_pos,Cy,Diatom,Proline betaine,13864750,NA,NA
211215_Smp_Cy_B_pos,Cy,Diatom,Proline betaine,12812536,NA,NA
211215_Smp_Cy_C_pos,Cy,Diatom,Proline betaine,17309332,NA,NA
211215_Smp_Np_A_pos,Np,Diatom,Proline betaine,467144,NA,NA
211215_Smp_Pc55x_A_pos,Pc55x,Diatom,Proline betaine,583675,NA,NA
211215_Smp_Pc55x_B_pos,Pc55x,Diatom,Proline betaine,482108,NA,NA
211215_Smp_Pc55x_C_pos,Pc55x,Diatom,Proline betaine,74123,NA,Flag
211215_Smp_Pt_C_pos,Pt,Diatom,Proline betaine,8020738,NA,NA
211215_Smp_Pt_F_pos,Pt,Diatom,Proline betaine,7270267,NA,NA
211215_Smp_To_A_pos,To,Diatom,Proline betaine,7879172,NA,NA
211215_Smp_To_B_pos,To,Diatom,Proline betaine,8988289,NA,NA
211215_Smp_To_C_pos,To,Diatom,Proline betaine,9078003,NA,NA
211215_Smp_Tp_A_pos,Tp,Diatom,Proline betaine,14417125,NA,NA
211215_Smp_Tp_E_pos,Tp,Diatom,Proline betaine,9528542,NA,NA
211215_Smp_Tp_F_pos,Tp,Diatom,Proline betaine,11798021,NA,NA
211215_Smp_Cy_A_pos,Cy,Diatom,Trigonelline,461428576,NA,NA
211215_Smp_Cy_B_pos,Cy,Diatom,Trigonelline,465137888,NA,NA
211215_Smp_Cy_C_pos,Cy,Diatom,Trigonelline,535974784,NA,NA
211215_Smp_Fc_B_pos,Fc,Diatom,Trigonelline,2000474,NA,NA
211215_Smp_Pc55x_A_pos,Pc55x,Diatom,Trigonelline,447169,NA,NA
211215_Smp_Pc55x_B_pos,Pc55x,Diatom,Trigonelline,582038,NA,NA
211215_Smp_Pc55x_C_pos,Pc55x,Diatom,Trigonelline,266042,NA,Flag
211215_Smp_Pt_C_pos,Pt,Diatom,Trigonelline,7088844288,NA,NA
211215_Smp_Pt_F_pos,Pt,Diatom,Trigonelline,6614989312,NA,NA
211215_Smp_To_A_pos,To,Diatom,Trigonelline,5652928,NA,NA
211215_Smp_To_B_pos,To,Diatom,Trigonelline,686932,NA,NA
211215_Smp_To_C_pos,To,Diatom,Trigonelline,5512607,NA,NA
211215_Smp_Tp_A_pos,Tp,Diatom,Trigonelline,1228255872,NA,NA
211215_Smp_Tp_E_pos,Tp,Diatom,Trigonelline,815100160,NA,NA
211215_Smp_Tp_F_pos,Tp,Diatom,Trigonelline,899840448,NA,NA
211215_Smp_Cy_A_pos,Cy,Diatom,Trimethylamine N-oxide,24627,Flag,Flag
211215_Smp_Cy_B_pos,Cy,Diatom,Trimethylamine N-oxide,40962,NA,NA
211215_Smp_Cy_C_pos,Cy,Diatom,Trimethylamine N-oxide,49374,NA,NA
211215_Smp_Fc_A_pos,Fc,Diatom,Trimethylamine N-oxide,2762878,NA,NA
211215_Smp_Fc_B_pos,Fc,Diatom,Trimethylamine N-oxide,3225521,NA,NA
211215_Smp_Fc_C_pos,Fc,Diatom,Trimethylamine N-oxide,2344920,NA,NA
211215_Smp_Pc55x_A_pos,Pc55x,Diatom,Trimethylamine N-oxide,52664,NA,NA
211215_Smp_Pt_C_pos,Pt,Diatom,Trimethylamine N-oxide,338624,NA,NA
211215_Smp_Pt_F_pos,Pt,Diatom,Trimethylamine N-oxide,2090993,NA,NA
211215_Smp_To_A_pos,To,Diatom,Trimethylamine N-oxide,41415,NA,NA
211218_Smp_449_A_pos,449,Dino_Green,beta-Alaninebetaine,8012406,NA,NA
211218_Smp_449_B_pos,449,Dino_Green,beta-Alaninebetaine,12011890,NA,NA
