Rep,SampID,replicate,Batch,SizeFrac,Compound,min.area.flag,blk.ratio.flag,Adjusted_Area
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Betonicine,NA,NA,110242696
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Gonyol,NA,NA,147345600.4901086
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Glycine betaine,NA,NA,1173682560
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Dimethylsulfonioacetate,NA,NA,40224580
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,beta-Alaninebetaine,NA,NA,224022864
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Dimethylsulfoniopropionate,NA,NA,248294640
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Homarine,NA,NA,39996116
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Trigonelline,NA,NA,135421712
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Proline betaine,NA,NA,69553696
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Betonicine,NA,NA,47497088
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Gonyol,NA,NA,17297811.166697484
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Glycine betaine,NA,NA,3383257088
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Dimethylsulfonioacetate,NA,NA,362665184
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,beta-Alaninebetaine,NA,NA,511809536
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Dimethylsulfoniopropionate,NA,NA,2391332864
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Homarine,NA,NA,195792528
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Trigonelline,NA,NA,272609056
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Proline betaine,NA,NA,86635472
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Betonicine,NA,NA,70887432
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Gonyol,NA,NA,154457288.71140856
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Glycine betaine,NA,NA,4912871936
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Dimethylsulfonioacetate,NA,NA,397805952
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,beta-Alaninebetaine,NA,NA,681223808
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Dimethylsulfoniopropionate,NA,NA,2921244672
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Homarine,NA,NA,292277408
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Trigonelline,NA,NA,392017408
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Proline betaine,NA,NA,125442864
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Betonicine,NA,NA,98067120
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Gonyol,NA,NA,245265150.8414246
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Glycine betaine,NA,NA,3331328768
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Dimethylsulfonioacetate,NA,NA,300015488
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,beta-Alaninebetaine,NA,NA,529860320
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Dimethylsulfoniopropionate,NA,NA,1390913920
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Homarine,NA,NA,235700096
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Trigonelline,NA,NA,311455296
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Proline betaine,NA,NA,85557664
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Betonicine,NA,NA,63455768
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Gonyol,NA,NA,205727191.12750947
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Glycine betaine,NA,NA,1590644096
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Dimethylsulfonioacetate,NA,NA,119729800
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,beta-Alaninebetaine,NA,NA,256901616
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Dimethylsulfoniopropionate,NA,NA,309409408
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Homarine,NA,NA,78005288
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Trigonelline,NA,NA,149210976
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Proline betaine,NA,NA,67325208
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Betonicine,NA,NA,43659876
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Gonyol,NA,NA,21601832.88461698
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Glycine betaine,NA,NA,4862282240
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Dimethylsulfonioacetate,NA,NA,300604736
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,beta-Alaninebetaine,NA,NA,440050976
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Dimethylsulfoniopropionate,NA,NA,444711872
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Homarine,NA,NA,4249678592
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Trigonelline,NA,NA,247321872
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Proline betaine,NA,NA,49461360
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Betonicine,NA,NA,33839720
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Gonyol,NA,NA,60431052.28975875
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Glycine betaine,NA,NA,4992046080
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Dimethylsulfonioacetate,NA,NA,323354592
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,beta-Alaninebetaine,NA,NA,438656000
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Dimethylsulfoniopropionate,NA,NA,897636544
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Homarine,NA,NA,4340447232
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Trigonelline,NA,NA,292564640
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Proline betaine,NA,NA,50812960
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Betonicine,NA,NA,34398288
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Gonyol,NA,NA,71712953.58046491
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Glycine betaine,NA,NA,6771496448
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Dimethylsulfonioacetate,NA,NA,592447680
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,beta-Alaninebetaine,NA,NA,573090752
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Dimethylsulfoniopropionate,NA,NA,196958096
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Homarine,NA,NA,5306433024
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Trigonelline,NA,NA,403700736
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Proline betaine,NA,NA,65511868
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Betonicine,NA,NA,40962976
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Gonyol,NA,NA,47675151.90444072
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Glycine betaine,NA,NA,3264485376
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Dimethylsulfonioacetate,NA,NA,53149412
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,beta-Alaninebetaine,NA,NA,297067904
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Dimethylsulfoniopropionate,NA,Flag,9715390.75
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Homarine,NA,NA,3807047680
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Trigonelline,NA,NA,74170472
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Proline betaine,NA,NA,42828636
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Betonicine,NA,NA,22964980
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Gonyol,NA,NA,7115221.529385653
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Glycine betaine,NA,NA,28161409024
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Dimethylsulfonioacetate,NA,NA,4700138496
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,beta-Alaninebetaine,NA,NA,13495821312
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Dimethylsulfoniopropionate,NA,NA,16582791168
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Homarine,NA,NA,7932341760
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Trigonelline,NA,NA,5067076096
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Proline betaine,NA,NA,538851200
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Betonicine,NA,NA,641761344
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Gonyol,NA,NA,974091555.4848636
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Glycine betaine,NA,NA,24288196608
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Dimethylsulfonioacetate,NA,NA,2752750080
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,beta-Alaninebetaine,NA,NA,10232329216
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Dimethylsulfoniopropionate,NA,NA,9886022656
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Homarine,NA,NA,5852804096
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Trigonelline,NA,NA,3722513920
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Proline betaine,NA,NA,393226048
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Betonicine,NA,NA,414218720
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Gonyol,NA,NA,1095803271.0448751
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Glycine betaine,NA,NA,23725473792
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Dimethylsulfonioacetate,NA,NA,1904136192
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,beta-Alaninebetaine,NA,NA,9242299392
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Dimethylsulfoniopropionate,NA,NA,3538414848
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Homarine,NA,NA,5058710016
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Trigonelline,NA,NA,3427937280
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Proline betaine,NA,NA,349627616
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Betonicine,NA,NA,343862400
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Gonyol,NA,NA,1178742677.7077827
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Glycine betaine,NA,NA,5343512576
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Dimethylsulfonioacetate,NA,NA,411832096
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,beta-Alaninebetaine,NA,NA,2538446080
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Dimethylsulfoniopropionate,NA,NA,231296416
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Homarine,NA,NA,1304066432
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Trigonelline,NA,NA,262425376
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Proline betaine,NA,NA,130811848
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Betonicine,NA,NA,181767280
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Gonyol,NA,NA,58350565.54945952
