Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,smp.remove,Blk.Av
220623_Smp_MU11_B,MU11,B,KM1906,Betonicine,2769202,NA,NA,NA,NA
220623_Smp_MU11_C,MU11,C,KM1906,Betonicine,2703343,NA,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,Betonicine,17582312,NA,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,Betonicine,4551121,NA,NA,NA,NA
220623_Smp_MU12_C,MU12,C,KM1906,Betonicine,14265465,NA,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,Betonicine,1138083,NA,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,Betonicine,983907,NA,NA,NA,NA
220623_Smp_MU13_C,MU13,C,KM1906,Betonicine,801844,NA,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,Betonicine,3105903,NA,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,Betonicine,2738415,NA,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,Betonicine,1399349,NA,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,Betonicine,505013,NA,NA,NA,NA
220623_Smp_MU15_B,MU15,B,KM1906,Betonicine,2790011,NA,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,Betonicine,1251717,NA,NA,NA,NA
220623_Smp_MU16_A,MU16,A,KM1906,Betonicine,2349487,NA,NA,NA,NA
220623_Smp_MU16_B,MU16,B,KM1906,Betonicine,1391173,NA,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,Betonicine,1289399,NA,NA,NA,NA
220623_Smp_MU17_A,MU17,A,KM1906,Betonicine,1457754,NA,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,Betonicine,1661236,NA,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,Betonicine,1220040,NA,NA,NA,NA
220623_Smp_MU2_B,MU2,B,KM1906,Betonicine,1228116,NA,NA,NA,NA
220623_Smp_MU2_C,MU2,C,KM1906,Betonicine,1730048,NA,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,Betonicine,1082911,NA,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,Betonicine,1289157,NA,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,Betonicine,2117953,NA,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,Betonicine,1223106,NA,NA,NA,NA
220623_Smp_MU4_B,MU4,B,KM1906,Betonicine,1409376,NA,NA,NA,NA
220623_Smp_MU4_C,MU4,C,KM1906,Betonicine,1389814,NA,NA,NA,NA
220623_Smp_MU5_A,MU5,A,KM1906,Betonicine,1050522,NA,NA,NA,NA
220623_Smp_MU5_B,MU5,B,KM1906,Betonicine,1199075,NA,NA,NA,NA
220623_Smp_MU5_C,MU5,C,KM1906,Betonicine,1502540,NA,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,Betonicine,1045117,NA,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,Betonicine,1673637,NA,NA,NA,NA
220623_Smp_MU6_C,MU6,C,KM1906,Betonicine,1416361,NA,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,Betonicine,1326077,NA,NA,NA,NA
220623_Smp_MU7_B,MU7,B,KM1906,Betonicine,1864491,NA,NA,NA,NA
220623_Smp_MU7_C,MU7,C,KM1906,Betonicine,2220111,NA,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,Betonicine,3594199,NA,NA,NA,NA
220623_Smp_MU8_B,MU8,B,KM1906,Betonicine,1644412,NA,NA,NA,NA
220623_Smp_MU8_C,MU8,C,KM1906,Betonicine,1495459,NA,NA,NA,NA
220623_Smp_MU9_A,MU9,A,KM1906,Betonicine,1140872,NA,NA,NA,NA
220623_Smp_MU9_B,MU9,B,KM1906,Betonicine,1086742,NA,NA,NA,NA
220623_Smp_MU9_C,MU9,C,KM1906,Betonicine,1219686,NA,NA,NA,NA
220623_Std_4uMStdsMix1InH2O_1,NA,NA,KM1906,Dimethylsulfonioacetate,NA,NA,NA,NA,NA
220623_Std_4uMStdsMix1InH2O_2,NA,NA,KM1906,Dimethylsulfonioacetate,14999,NA,NA,NA,NA
220623_Std_4uMStdsMix1InMatrix_1,NA,NA,KM1906,Dimethylsulfonioacetate,11661007,NA,NA,NA,NA
220623_Std_4uMStdsMix1InMatrix_2,NA,NA,KM1906,Dimethylsulfonioacetate,13633034,NA,NA,NA,NA
220623_Std_4uMStdsMix2InH2O_1,NA,NA,KM1906,Dimethylsulfonioacetate,614412992,NA,NA,NA,NA
220623_Std_4uMStdsMix2InH2O_2,NA,NA,KM1906,Dimethylsulfonioacetate,856265408,NA,NA,NA,NA
220623_Std_4uMStdsMix2InMatrix_1,NA,NA,KM1906,Dimethylsulfonioacetate,646820096,NA,NA,NA,NA
220623_Std_4uMStdsMix2InMatrix_2,NA,NA,KM1906,Dimethylsulfonioacetate,861243456,NA,NA,NA,NA
220623_Std_H2OinMatrix_1,NA,NA,KM1906,Dimethylsulfonioacetate,11868570,NA,NA,NA,NA
220623_Std_H2OinMatrix_2,NA,NA,KM1906,Dimethylsulfonioacetate,13407595,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full1,NA,NA,KM1906,Dimethylsulfonioacetate,20589488,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full2,NA,NA,KM1906,Dimethylsulfonioacetate,21366516,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full3,NA,NA,KM1906,Dimethylsulfonioacetate,26790420,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half1,NA,NA,KM1906,Dimethylsulfonioacetate,9842702,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half2,NA,NA,KM1906,Dimethylsulfonioacetate,10779750,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half3,NA,NA,KM1906,Dimethylsulfonioacetate,13391003,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_A,NA,NA,KM1906,Dimethylsulfonioacetate,0,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_B,NA,NA,KM1906,Dimethylsulfonioacetate,0,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_C,NA,NA,KM1906,Dimethylsulfonioacetate,0,NA,NA,NA,NA
220623_Smp_CXSPE_Blk2_A,NA,NA,KM1906,Dimethylsulfonioacetate,12660,NA,NA,NA,NA
220623_Smp_CXSPE_Blk2_B,NA,NA,KM1906,Dimethylsulfonioacetate,0,NA,NA,NA,NA
220623_Smp_CXSPE_Blk2_C,NA,NA,KM1906,Dimethylsulfonioacetate,0,NA,NA,NA,NA
220623_Smp_CXSPE_Blk3_A,NA,NA,KM1906,Dimethylsulfonioacetate,0,NA,NA,NA,NA
220623_Smp_CXSPE_Blk3_B,NA,NA,KM1906,Dimethylsulfonioacetate,0,NA,NA,NA,NA
220623_Smp_CXSPE_Blk3_C,NA,NA,KM1906,Dimethylsulfonioacetate,0,NA,NA,NA,NA
220623_Smp_CXSPE_Blk4_A,NA,NA,KM1906,Dimethylsulfonioacetate,0,NA,NA,NA,NA
220623_Smp_CXSPE_Blk4_B,NA,NA,KM1906,Dimethylsulfonioacetate,0,NA,NA,NA,NA
220623_Smp_CXSPE_Blk4_C,NA,NA,KM1906,Dimethylsulfonioacetate,0,NA,NA,NA,NA
220623_Smp_MQBlk_1,NA,NA,KM1906,Dimethylsulfonioacetate,366901,NA,NA,NA,NA
220623_Smp_MQBlk_2,NA,NA,KM1906,Dimethylsulfonioacetate,767926,NA,NA,NA,NA
220623_Smp_MQBlk_3,NA,NA,KM1906,Dimethylsulfonioacetate,144894,NA,NA,NA,NA
220623_Smp_MQBlk_4,NA,NA,KM1906,Dimethylsulfonioacetate,73309,NA,NA,NA,NA
220623_Smp_MQBlk_5,NA,NA,KM1906,Dimethylsulfonioacetate,63471,NA,NA,NA,NA
220623_Smp_MQBlk_6,NA,NA,KM1906,Dimethylsulfonioacetate,108342,NA,NA,NA,NA
220623_Smp_MU1_A,MU1,A,KM1906,Dimethylsulfonioacetate,5149799,NA,NA,NA,NA
220623_Smp_MU1_B,MU1,B,KM1906,Dimethylsulfonioacetate,3870351,NA,NA,NA,NA
220623_Smp_MU1_C,MU1,C,KM1906,Dimethylsulfonioacetate,4252157,NA,NA,NA,NA
220623_Smp_MU10_A,MU10,A,KM1906,Dimethylsulfonioacetate,38162240,NA,NA,NA,NA
220623_Smp_MU10_B,MU10,B,KM1906,Dimethylsulfonioacetate,54648584,NA,NA,NA,NA
220623_Smp_MU10_C,MU10,C,KM1906,Dimethylsulfonioacetate,70545208,NA,NA,NA,NA
220623_Smp_MU11_A,MU11,A,KM1906,Dimethylsulfonioacetate,43209380,NA,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,Dimethylsulfonioacetate,68313688,NA,NA,NA,NA
220623_Smp_MU11_C,MU11,C,KM1906,Dimethylsulfonioacetate,55303228,NA,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,Dimethylsulfonioacetate,152873184,NA,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,Dimethylsulfonioacetate,54798988,NA,NA,NA,NA
220623_Smp_MU12_C,MU12,C,KM1906,Dimethylsulfonioacetate,137647680,NA,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,Dimethylsulfonioacetate,13606572,NA,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,Dimethylsulfonioacetate,13740322,NA,NA,NA,NA
220623_Smp_MU13_C,MU13,C,KM1906,Dimethylsulfonioacetate,10763138,NA,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,Dimethylsulfonioacetate,41426452,NA,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,Dimethylsulfonioacetate,32689038,NA,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,Dimethylsulfonioacetate,25308170,NA,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,Dimethylsulfonioacetate,15030404,NA,NA,NA,NA
220623_Smp_MU15_B,MU15,B,KM1906,Dimethylsulfonioacetate,31978716,NA,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,Dimethylsulfonioacetate,21936020,NA,NA,NA,NA
220623_Smp_MU16_A,MU16,A,KM1906,Dimethylsulfonioacetate,27161298,NA,NA,NA,NA
220623_Smp_MU16_B,MU16,B,KM1906,Dimethylsulfonioacetate,24498492,NA,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,Dimethylsulfonioacetate,19383210,NA,NA,NA,NA
220623_Smp_MU17_A,MU17,A,KM1906,Dimethylsulfonioacetate,37629000,NA,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,Dimethylsulfonioacetate,39169732,NA,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,Dimethylsulfonioacetate,4738983,NA,NA,NA,NA
220623_Smp_MU2_B,MU2,B,KM1906,Dimethylsulfonioacetate,5004493,NA,NA,NA,NA
220623_Smp_MU2_C,MU2,C,KM1906,Dimethylsulfonioacetate,6712270,NA,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,Dimethylsulfonioacetate,6062338,NA,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,Dimethylsulfonioacetate,6844422,NA,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,Dimethylsulfonioacetate,9605039,NA,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,Dimethylsulfonioacetate,7251128,NA,NA,NA,NA
220623_Smp_MU4_B,MU4,B,KM1906,Dimethylsulfonioacetate,7858063,NA,NA,NA,NA
220623_Smp_MU4_C,MU4,C,KM1906,Dimethylsulfonioacetate,7248350,NA,NA,NA,NA
220623_Smp_MU5_A,MU5,A,KM1906,Dimethylsulfonioacetate,7365757,NA,NA,NA,NA
220623_Smp_MU5_B,MU5,B,KM1906,Dimethylsulfonioacetate,7346899,NA,NA,NA,NA
220623_Smp_MU5_C,MU5,C,KM1906,Dimethylsulfonioacetate,10326469,NA,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,Dimethylsulfonioacetate,10652256,NA,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,Dimethylsulfonioacetate,11817911,NA,NA,NA,NA
220623_Smp_MU6_C,MU6,C,KM1906,Dimethylsulfonioacetate,11006734,NA,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,Dimethylsulfonioacetate,10668275,NA,NA,NA,NA
220623_Smp_MU7_B,MU7,B,KM1906,Dimethylsulfonioacetate,14819323,NA,NA,NA,NA
220623_Smp_MU7_C,MU7,C,KM1906,Dimethylsulfonioacetate,13252988,NA,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,Dimethylsulfonioacetate,15270718,NA,NA,NA,NA
220623_Smp_MU8_B,MU8,B,KM1906,Dimethylsulfonioacetate,17356734,NA,NA,NA,NA
220623_Smp_MU8_C,MU8,C,KM1906,Dimethylsulfonioacetate,15016126,NA,NA,NA,NA
220623_Smp_MU9_A,MU9,A,KM1906,Dimethylsulfonioacetate,11327660,NA,NA,NA,NA
220623_Smp_MU9_B,MU9,B,KM1906,Dimethylsulfonioacetate,13441413,NA,NA,NA,NA
220623_Smp_MU9_C,MU9,C,KM1906,Dimethylsulfonioacetate,13019795,NA,NA,NA,NA
220623_Std_4uMStdsMix1InH2O_1,NA,NA,KM1906,Dimethylsulfoniopropionate,10963,NA,NA,NA,NA
220623_Std_4uMStdsMix1InH2O_2,NA,NA,KM1906,Dimethylsulfoniopropionate,NA,NA,NA,NA,NA
220623_Std_4uMStdsMix1InMatrix_1,NA,NA,KM1906,Dimethylsulfoniopropionate,40843140,NA,NA,NA,NA
220623_Std_4uMStdsMix1InMatrix_2,NA,NA,KM1906,Dimethylsulfoniopropionate,45087284,NA,NA,NA,NA
220623_Std_4uMStdsMix2InH2O_1,NA,NA,KM1906,Dimethylsulfoniopropionate,1007944448,NA,NA,NA,NA
220623_Std_4uMStdsMix2InH2O_2,NA,NA,KM1906,Dimethylsulfoniopropionate,1365061376,NA,NA,NA,NA
220623_Std_4uMStdsMix2InMatrix_1,NA,NA,KM1906,Dimethylsulfoniopropionate,1080469888,NA,NA,NA,NA
