Molecule List Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Molecule List
HILIC-Pos_Standards,220628_Smp_MU14_B,(3-Carboxypropyl)trimethylammonium,10.03,222833968,1516494,16154209,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU14_C,(3-Carboxypropyl)trimethylammonium,10.04,205330400,0,13497806,-4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU15_A,(3-Carboxypropyl)trimethylammonium,10,413468832,2470475,27676576,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU15_B,(3-Carboxypropyl)trimethylammonium,10.03,579769664,5917733,38799692,-2.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU15_C,(3-Carboxypropyl)trimethylammonium,10,477308448,3440328,33916360,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU16_A,(3-Carboxypropyl)trimethylammonium,10,45365412,0,3096385,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU16_B,(3-Carboxypropyl)trimethylammonium,10.07,80464288,144642,5384163,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU16_C,(3-Carboxypropyl)trimethylammonium,10.03,67982312,0,4749737,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU17_A,(3-Carboxypropyl)trimethylammonium,10.04,259744960,1939057,16729441,-3.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU17_B,(3-Carboxypropyl)trimethylammonium,10.01,248873712,3075912,17022832,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU17_C,(3-Carboxypropyl)trimethylammonium,10.06,328742976,3891074,23469774,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU18_A,(3-Carboxypropyl)trimethylammonium,9.98,184941776,1999176,13498149,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU18_B,(3-Carboxypropyl)trimethylammonium,10.04,216463552,2614248,14586388,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU18_C,(3-Carboxypropyl)trimethylammonium,10,180011344,461995,12299283,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU19_A,(3-Carboxypropyl)trimethylammonium,10.03,957009984,9267018,66209272,-4.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU19_B,(3-Carboxypropyl)trimethylammonium,10.06,1145414784,14711838,75012856,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU19_C,(3-Carboxypropyl)trimethylammonium,10.01,1035609600,6768942,68881264,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU2_A,(3-Carboxypropyl)trimethylammonium,10.05,41478636,0,2838888,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU2_B,(3-Carboxypropyl)trimethylammonium,10.01,68594128,0,4723248,-2.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU2_C,(3-Carboxypropyl)trimethylammonium,10.04,68393552,0,4557407,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU20_A,(3-Carboxypropyl)trimethylammonium,10,133740728,328081,9005053,-2.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU20_B,(3-Carboxypropyl)trimethylammonium,10.03,213225792,2339808,15335899,-2.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU20_C,(3-Carboxypropyl)trimethylammonium,10.03,180519744,1060755,11896335,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU21_A,(3-Carboxypropyl)trimethylammonium,10.03,56472720,79857,3827274,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU21_B,(3-Carboxypropyl)trimethylammonium,10.04,91065400,0,6072208,-3.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU21_C,(3-Carboxypropyl)trimethylammonium,10.03,48536672,0,3219013,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU22_A,(3-Carboxypropyl)trimethylammonium,10.04,38089780,134756,2606979,-2.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU22_B,(3-Carboxypropyl)trimethylammonium,10.03,57142792,0,3860287,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU22_C,(3-Carboxypropyl)trimethylammonium,10,58876908,0,3820932,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU23_A,(3-Carboxypropyl)trimethylammonium,10.06,69664320,0,4731012,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU23_B,(3-Carboxypropyl)trimethylammonium,10.06,71518328,25145,4763274,-2.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU23_C,(3-Carboxypropyl)trimethylammonium,10.05,76706584,613228,5501489,-2.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU24_A,(3-Carboxypropyl)trimethylammonium,10.06,67742864,293030,4376626,-2.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU24_B,(3-Carboxypropyl)trimethylammonium,10.06,71862008,0,5331817,-2.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU24_C,(3-Carboxypropyl)trimethylammonium,10.04,57569516,0,3750265,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU3_A,(3-Carboxypropyl)trimethylammonium,10.03,55159352,0,3550575,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU3_B,(3-Carboxypropyl)trimethylammonium,10.01,75438504,0,5029425,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU3_C,(3-Carboxypropyl)trimethylammonium,10.01,64259992,0,4308058,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU4_A,(3-Carboxypropyl)trimethylammonium,10.06,76648832,0,5155023,-3.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU4_B,(3-Carboxypropyl)trimethylammonium,10.03,102449944,30297,7318444,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU4_C,(3-Carboxypropyl)trimethylammonium,10.06,85755480,0,5692427,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU5_A,(3-Carboxypropyl)trimethylammonium,10.04,47753088,64596,3408038,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU5_B,(3-Carboxypropyl)trimethylammonium,10.04,67080536,0,4532265,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU5_C,(3-Carboxypropyl)trimethylammonium,10,58378212,0,4060068,-3.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU6_A,(3-Carboxypropyl)trimethylammonium,10.06,83748712,0,5863906,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU6_B,(3-Carboxypropyl)trimethylammonium,10.01,76127544,0,5492184,-2.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU6_C,(3-Carboxypropyl)trimethylammonium,10.03,57934648,0,4022413,-4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU7_A,(3-Carboxypropyl)trimethylammonium,10.03,76301304,763996,5398534,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU7_B,(3-Carboxypropyl)trimethylammonium,10.06,100777904,870760,6807740,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU7_C,(3-Carboxypropyl)trimethylammonium,9.98,86641384,112155,5940339,-4.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU8_A,(3-Carboxypropyl)trimethylammonium,9.98,48217880,0,3263798,-2.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU8_B,(3-Carboxypropyl)trimethylammonium,10.04,36228072,136534,2599876,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU8_C,(3-Carboxypropyl)trimethylammonium,10.04,34303816,33368,2392677,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU9_A,(3-Carboxypropyl)trimethylammonium,10.01,62178832,152791,4332218,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU9_B,(3-Carboxypropyl)trimethylammonium,10.03,96470544,799611,6476080,-4.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU9_C,(3-Carboxypropyl)trimethylammonium,10.06,79689808,0,5532372,-2.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix1InH2O_1,"2,3-Pyridinedicarboxylic acid",11.26,267212448,0,10741409,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix1InH2O_2,"2,3-Pyridinedicarboxylic acid",12.8,194692736,0,9009103,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix1InMatrix_1,"2,3-Pyridinedicarboxylic acid",11.39,266233040,0,13869005,-2.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix1InMatrix_2,"2,3-Pyridinedicarboxylic acid",12.8,179991872,4825861,11416935,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix2InH2O_1,"2,3-Pyridinedicarboxylic acid",11.49,141720,0,10825,-4.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix2InH2O_2,"2,3-Pyridinedicarboxylic acid",12.44,42913,0,13278,-2.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix2InMatrix_1,"2,3-Pyridinedicarboxylic acid",11.45,175594,0,18730,-2.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix2InMatrix_2,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_H2OinMatrix_1,"2,3-Pyridinedicarboxylic acid",11.23,160956,0,25146,-1.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_H2OinMatrix_2,"2,3-Pyridinedicarboxylic acid",12.85,51086,0,19459,-1.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Full1,"2,3-Pyridinedicarboxylic acid",11.68,195323,0,23523,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Full2,"2,3-Pyridinedicarboxylic acid",12.83,49948,0,16603,-1.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Full3,"2,3-Pyridinedicarboxylic acid",12.85,17201,0,10025,-0.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Half1,"2,3-Pyridinedicarboxylic acid",11.54,34175,0,10266,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Half2,"2,3-Pyridinedicarboxylic acid",11.99,13277,0,10407,-0.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Half3,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MBlk1_A,"2,3-Pyridinedicarboxylic acid",11.72,0,0,0,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MBlk1_B,"2,3-Pyridinedicarboxylic acid",11.95,0,0,0,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MMQBlk1_A,"2,3-Pyridinedicarboxylic acid",11.84,0,0,0,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MMQBlk1_B,"2,3-Pyridinedicarboxylic acid",11.77,0,0,0,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU1_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU1_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU1_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU10_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU10_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU10_C,"2,3-Pyridinedicarboxylic acid",12.05,262504,0,27242,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU11_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU11_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU11_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU14_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU14_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU14_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU15_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU15_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU15_C,"2,3-Pyridinedicarboxylic acid",12.88,119185,0,20718,-1.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU16_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU16_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU16_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU17_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU17_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU17_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU18_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU18_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU18_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU19_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU19_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU19_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU2_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU2_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU2_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU20_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU20_B,"2,3-Pyridinedicarboxylic acid",12.1,101753,0,15460,-2.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU20_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU21_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU21_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU21_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU22_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU22_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU22_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU23_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU23_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU23_C,"2,3-Pyridinedicarboxylic acid",11.74,295384,30325,31148,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU24_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU24_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU24_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU3_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU3_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU3_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU4_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU4_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU4_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU5_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU5_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU5_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU6_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU6_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU6_C,"2,3-Pyridinedicarboxylic acid",9.44,14348,0,12484,-0.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU7_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU7_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU7_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU8_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU8_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU8_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU9_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
